SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,AGE,DURATION
1,1,1,1,1,0,0,0,2,4,2,3,4,1,1,1,0,0,1,0,0,3,2,2,3,3,3,2,2,16,8.25
0,0,0,1,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,16,8.9
0,1,0,1,1,0,0,0,3,3,2,4,3,1,1,1,0,0,1,0,0,1,2,1,1,2,2,2,1,15,22.15
1,1,0,1,1,0,0,0,3,4,3,2,1,0,0,0,1,1,0,1,0,2,1,2,1,2,2,1,2,15,16.6
0,1,1,1,0,0,0,0,3,3,2,2,3,0,0,0,0,0,0,1,0,1,2,1,1,3,3,3,3,15,9.85
0,1,1,1,1,0,0,0,3,3,3,3,3,0,0,1,0,0,0,0,0,2,2,1,2,3,3,3,3,13,9.716666667
1,1,0,1,1,0,0,0,3,3,4,4,4,1,0,1,0,0,0,0,0,2,2,1,2,3,3,2,3,16,45.16666667
0,1,0,1,1,0,0,0,3,3,3,2,4,1,1,0,0,1,0,1,0,2,2,1,2,3,2,3,3,13,15.31666667
0,0,0,1,1,0,0,0,2,4,3,2,4,0,0,1,0,0,0,1,0,2,2,1,1,3,3,3,3,13,19.45
0,1,1,1,1,0,0,0,3,4,3,3,4,0,0,1,0,0,0,0,0,2,3,1,2,3,3,3,3,17,13.43333333
1,1,1,1,1,0,0,0,3,1,3,3,3,1,1,1,1,1,0,1,0,2,1,1,1,2,1,2,2,14,7.45
0,1,1,0,1,0,0,0,2,3,2,2,3,1,0,0,0,0,0,0,0,3,2,3,2,3,3,3,3,14,8.533333333
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,14.01666667
0,1,1,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,1,0,1,2,2,1,3,3,2,1,16,3.95
1,0,1,1,0,0,0,0,1,4,2,2,1,0,0,1,0,0,1,1,0,2,2,1,2,2,1,1,1,14,9.55
1,1,1,1,1,0,0,0,3,2,3,2,4,1,0,1,0,0,0,0,0,3,3,2,3,3,3,3,3,17,11.61666667
0,1,0,1,1,0,0,0,1,2,2,3,3,1,0,1,0,0,1,0,0,3,3,2,3,3,3,2,2,14,21.81666667
0,1,0,1,0,0,0,0,1,2,2,1,3,1,0,1,0,1,0,1,0,2,2,2,2,3,3,3,2,14,17.21666667
0,0,0,0,1,0,0,0,4,3,3,3,3,0,0,0,0,0,0,0,1,3,3,2,3,3,2,3,3,13,11.05
1,1,1,0,1,0,0,0,3,3,2,2,2,1,0,1,1,0,0,1,0,2,2,2,2,3,2,2,2,16,8.783333333
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,14,11.23333333
0,0,0,0,1,0,0,0,4,4,3,3,4,0,0,0,0,0,0,1,0,2,2,2,3,2,1,3,3,17,50.51666667
1,1,1,1,1,1,1,0,4,2,2,3,2,0,0,0,0,0,0,0,1,3,1,2,1,3,3,3,3,16,7.9
0,1,1,1,1,0,0,0,1,1,2,2,2,1,1,0,0,0,0,1,0,1,2,1,2,3,2,2,2,16,8.3
1,1,1,1,1,0,0,0,2,4,4,1,4,0,0,0,1,1,0,1,0,1,1,1,1,3,2,3,3,17,16.56666667
1,1,0,0,1,0,1,0,4,4,4,3,4,0,0,0,0,0,0,0,1,3,2,3,2,3,3,3,3,14,10.46666667
0,0,1,1,1,0,0,0,4,2,4,4,4,0,0,1,0,0,0,0,0,3,3,2,1,3,3,3,3,13,17.11666667
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,17.96666667
1,1,0,1,1,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,3,1,3,3,16,13.61666667
0,1,1,1,1,0,0,0,2,4,3,2,4,0,1,0,0,0,0,0,0,2,1,1,1,3,1,3,2,16,13
0,1,1,1,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,1,2,1,1,3,3,3,3,15,13.05
0,0,1,0,0,0,0,0,1,2,1,3,3,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,14,16.53333333
0,1,0,1,1,0,0,0,3,2,3,3,4,1,0,1,0,0,0,0,0,3,2,3,2,3,3,3,3,13,10.91666667
0,0,1,0,1,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,15,17.43333333
0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , ,13,6.666666667
1,1,0,1,1,0,0,0,1,2,1,2,3,1,0,1,0,0,1,1,0,1,1,2,2,3,3,1,2,14,21.16666667
0,1,1,1,1,0,0,0,2,2,4,2,3,1,0,1,0,0,0,0,0,1,1,2,1,3,3,3,3,14,20
0,0,0,1,1,1,0,0,3,4,4,4,4,0,0,0,1,0,0,0,0,1,3,2,2,2,3,2,3,16,11.55
0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,3,1,1,1,1,1,1,1,17,8.233333333
0,1,0,1,1,1,0,0,3,1,1,2,1,1,1,1,0,1,0,1,0,2,1,1,1,3,2,3,2,17,38.05
0,1,1,1,1,0,0,0,1,2,3,1,3,0,0,0,0,0,0,0,1,3,2,1,2,3,2,3,3,14,24.83333333
0,1,1,1,1,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,0,1,1,1,1,3,2,2,2,14,17.13333333
0,1,0,1,1,0,0,0,1,2,2,2,4,1,1,1,0,1,0,1,0,2,3,2,2,3,3,3,3,15,19.46666667
1,1,1,1,1,0,0,0,2,2,3,2,2,1,0,0,0,0,0,1,0,2,2,2,1,3,3,3,3,17,17.33333333
0,1,0,1,0,0,0,0,4,4,3,4,3,1,0,1,1,0,0,0,0,1,1,1,2,2,2,1,1,15,10.46666667
0,0,0,0,1,0,0,0,4,3,4,4,4,0,0,0,0,0,0,0,1,3,2,3,3,2,3,3,3,13,23.83333333
0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,3,2,3,3,3,3,3,16,13.88333333
0,1,1,1,1,0,0,0,1,2,4,2,2,1,0,0,0,0,0,0,0,2,2,1,2,3,2,3,2,13,17.31666667
0,1,1,1,1,0,0,0,1,2,3,2,2,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,16,10.18333333
0,0,0,0,1,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,1,3,1,2,1,3,3,3,3,15,12.96666667
0,1,1,1,1,0,0,0,3,3,4,2,3,1,0,1,0,0,0,0,0,2,2,2,2,3,2,3,3,16,9.966666667
1,1,1,0,1,0,0,0,2,2,4,4,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,17,13.78333333
0,1,0,1,1,0,0,0,4,4,4,2,4,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,14,11.8
0,1,1,1,0,0,0,0,2,3,3,2,3,1,0,0,0,0,0,0,0,2,3,1,2,2,3,3,1,17,12.48333333
1,0,0,1,1,0,1,0,2,3,2,2,2,0,0,0,0,0,0,0,1,2,2,1,1,3,2,2,2,15,9.55
0,0,0,1,1,0,0,0,3,4,2,3,4,0,0,0,0,0,0,0,1,3,2,2,2,3,3,3,2,13,24.23333333
1,1,1,1,1,0,1,0,3,4,4,4,4,0,0,0,0,0,0,0,1,3,3,2,3,3,3,3,3,13,11.98333333
1,1,0,1,1,1,0,0,1,1,2,1,2,1,1,0,0,1,0,1,0,1,1,1,1,3,1,1,1,14,26.81666667
0,1,1,1,1,0,0,0,1,1,2,4,2,1,0,1,0,1,0,1,0,2,1,2,2,3,3,3,3,15,10.73333333
1,1,1,1,1,1,0,0,1,2,1,3,3,1,0,0,1,1,1,1,0,1,1,1,1,2,3,2,1,15,20.5
